avtor,naslov,url
Bob Dylan,Like A Rolling Stone,http://www.youtube.com/watch?v=dxLMr784l0Q
The Rolling Stones,(I Can't Get No) Satisfaction,http://www.youtube.com/watch?v=nrIPxlFzDi0
John Lennon,Imagine,http://www.youtube.com/watch?v=DVg2EJvvlF8
Marvin Gaye,What's Going On,http://www.youtube.com/watch?v=H-kA3UtBj4M
Aretha Franklin,Respect,http://www.youtube.com/watch?v=6FOUqQt3Kg0
The Beach Boys,Good Vibrations,http://www.youtube.com/watch?v=Eab_beh07HU
Chuck Berry,Johnny B. Goode,http://www.youtube.com/watch?v=ZFo8-JqzSCM
The Beatles,Hey Jude,http://www.youtube.com/watch?v=A_MjCqQoLLA
Nirvana,Smells Like Teen Spirit,http://www.youtube.com/watch?v=hTWKbfoikeg
Ray Charles,What'd I Say,http://www.youtube.com/watch?v=xTIP_FOdq24
The Who,My Generation,http://www.youtube.com/watch?v=qN5zw04WxCc
Sam Cooke,A Change Is Gonna Come,http://www.youtube.com/watch?v=wEBlaMOmKV4
The Beatles,Yesterday,http://www.youtube.com/watch?v=Ho2e0zvGEWE
Bob Dylan,Blowin' In The Wind,http://www.youtube.com/watch?v=3l4nVByCL44
The Clash,London Calling,http://www.youtube.com/watch?v=EfK-WX2pa8c
The Beatles,I Want To Hold Your Hand,http://www.youtube.com/watch?v=jenWdylTtzs
The Jimi Hendrix Experience,Purple Haze,http://www.youtube.com/watch?v=fjwWjx7Cw8I
Chuck Berry,Maybellene,http://www.youtube.com/watch?v=75RiHJGfyUE
Elvis Presley,Hound Dog,http://www.youtube.com/watch?v=lzQ8GDBA8Is
The Beatles,Let It Be,http://www.youtube.com/watch?v=ih-8K1a_SsA
Bruce Springsteen,Born To Run,http://www.youtube.com/watch?v=IxuThNgl3YA
The Ronettes,Be My Baby,http://www.youtube.com/watch?v=2g_FD_sYazk
The Beatles,In My Life,http://www.youtube.com/watch?v=-eCh3y5VROM
The Impressions,People Get Ready,http://www.youtube.com/watch?v=l04yM7-BWbg
The Beach Boys,God Only Knows,http://www.youtube.com/watch?v=EkPy18xW1j8
The Beatles,A Day In The Life,http://www.youtube.com/watch?v=usNsCeOV4GM
Derek And The Dominos,Layla,http://www.youtube.com/watch?v=uSquiIVLhrQ
Otis Redding,(Sittin' On) The Dock Of The Bay,http://www.youtube.com/watch?v=rTVjnBo96Ug
The Beatles,Help!,http://www.youtube.com/watch?v=yWP6Qki8mWc
Johnny Cash,I Walk The Line,http://www.youtube.com/watch?v=Lq0fUa0vW_E
Led Zeppelin,Stairway To Heaven,http://www.youtube.com/watch?v=9Q7Vr3yQYWQ
The Rolling Stones,Sympathy For The Devil,http://www.youtube.com/watch?v=vBecM3CQVD8
Ike and Tina Turner,River Deep - Mountain High,http://www.youtube.com/watch?v=uj0wPrN_Y_4
The Righteous Brothers,You've Lost That Lovin' Feelin',http://www.youtube.com/watch?v=uOnYY9Mw2Fg
The Doors,Light My Fire,http://www.youtube.com/watch?v=deB_u-to-IE
U2,One,http://www.youtube.com/watch?v=BgZ4ammawyI
Bob Marley and The Wailers,"No Woman, No Cry",http://www.youtube.com/watch?v=ZijDUpvLK9c
The Rolling Stones,Gimme Shelter,http://www.youtube.com/watch?v=R3rnxQBizoU
Buddy Holly,That'll Be The Day,http://www.youtube.com/watch?v=eq9FCBatl3A
Martha And The Vandellas,Dancing In The Street,http://www.youtube.com/watch?v=CdvITn5cAVc
The Band,The Weight,http://www.youtube.com/watch?v=sjCw3-YTffo
The Kinks,Waterloo Sunset,http://www.youtube.com/watch?v=N_MqfF0WBsU
Little Richard,Tutti Frutti,http://www.youtube.com/watch?v=F13JNjpNW6c
Ray Charles,Georgia On My Mind,http://www.youtube.com/watch?v=fRgWBN8yt_E
Elvis Presley,Heartbreak Hotel,http://www.youtube.com/watch?v=e9BLw4W5KU8
David Bowie,Heroes,http://www.youtube.com/watch?v=Tgcc5V9Hu3g
Simon And Garfunkel,Bridge Over Troubled Water,http://www.youtube.com/watch?v=H_a46WJ1viA
Jimi Hendrix,All Along The Watchtower,http://www.youtube.com/watch?v=TLV4_xaYynY
Eagles,Hotel California,http://www.youtube.com/watch?v=G0ATsOXSPBw
Smokey Robinson and The Miracles,The Tracks Of My Tears,http://www.youtube.com/watch?v=d03Oo8jHoTA
Prince,When Doves Cry,http://www.youtube.com/watch?v=8xhi0VGBIlM
Sex Pistols,Anarchy In The U.K.,http://www.youtube.com/watch?v=qbmWs6Jf5dc
Percy Sledge,When A Man Loves A Woman,http://www.youtube.com/watch?v=7lp7FtJXp7k
The Kingsmen,Louie Louie,http://www.youtube.com/watch?v=1RZJ4ESU52U
Little Richard,Long Tall Sally,http://www.youtube.com/watch?v=eFFgbc5Vcbw
Procol Harum,A Whiter Shade Of Pale,http://www.youtube.com/watch?v=Mb3iPP-tHdA
Michael Jackson,Billie Jean,http://www.youtube.com/watch?v=Zi_XLOBDo_Y
Bob Dylan,The Times They Are A-Changin',http://www.youtube.com/watch?v=e7qQ6_RV4VQ
Al Green,Let's Stay Together,http://www.youtube.com/watch?v=COiIC3A0ROM
Jerry Lee Lewis,Whole Lotta Shakin' Goin On,http://www.youtube.com/watch?v=RFxRTLmtsbE
Bo Diddley,Bo Diddley,http://www.youtube.com/watch?v=3jrIK7YB0tE
Buffalo Springfield,For What It's Worth,http://www.youtube.com/watch?v=DIoKr9VDg3A
The Beatles,She Loves You,http://www.youtube.com/watch?v=C7fBaWYT_3E
Cream,Sunshine Of Your Love,http://www.youtube.com/watch?v=zt51rITH3EA
Bob Marley and The Wailers,Redemption Song,http://www.youtube.com/watch?v=CB4pQi8bObM
Elvis Presley,Jailhouse Rock,http://www.youtube.com/watch?v=gj0Rz-uP4Mk
Bob Dylan,Tangled Up In Blue,http://www.youtube.com/watch?v=YwSZvHqf9qM
Roy Orbison,Crying,http://www.youtube.com/watch?v=tNdBLBleO90
Dionne Warwick,Walk On By,http://www.youtube.com/watch?v=ijhL9Y7skQs
The Beach Boys,California Girls,http://www.youtube.com/watch?v=fmIsdMWzdaE
James Brown,Papa's Got A Brand New Bag Part 1,http://www.youtube.com/watch?v=rnDEr9R0snU
Eddie Cochran,Summertime Blues,http://www.youtube.com/watch?v=fZZD8ckwLJA
Stevie Wonder,Superstition,http://www.youtube.com/watch?v=0CFuCYNx-1g
Led Zeppelin,Whole Lotta Love,http://www.youtube.com/watch?v=Mln0RciE2o0
The Beatles,Strawberry Fields Forever,http://www.youtube.com/watch?v=8UQK-UcRezE
Elvis Presley,Mystery Train,http://www.youtube.com/watch?v=Q_eE0NPArEY
James Brown,I Got You (I Feel Good),http://www.youtube.com/watch?v=PJqKkZ1VVMk
The Byrds,Mr. Tambourine Man,http://www.youtube.com/watch?v=NyOzGPbn2tg
Marvin Gaye,I Heard It Through The Grapevine,http://www.youtube.com/watch?v=hajBdDM2qdg
Fats Domino,Blueberry Hill,http://www.youtube.com/watch?v=bQQCPrwKzdo
The Kinks,You Really Got Me,http://www.youtube.com/watch?v=fTTsY-oz6Go
The Beatles,Norwegian Wood (This Bird Has Flown),http://www.youtube.com/watch?v=rl2xQAeCvOc
The Police,Every Breath You Take,http://www.youtube.com/watch?v=OMOGaugKpzs
Patsy Cline,Crazy,http://www.youtube.com/watch?v=6QEDb3xzdec
Bruce Springsteen,Thunder Road,http://www.youtube.com/watch?v=jte9PzIu9T4
Johnny Cash,Ring Of Fire,http://www.youtube.com/watch?v=QfCOJLRk2D4
The Temptations,My Girl,http://www.youtube.com/watch?v=6IUG-9jZD-g
The Mamas and The Papas,California Dreamin',http://www.youtube.com/watch?v=N-aK6JnyFmk
The Five Satins,In The Still Of The Nite,http://www.youtube.com/watch?v=MRb1-SAAIzs
Elvis Presley,Suspicious Minds,http://www.youtube.com/watch?v=RxOBOhRECoo
Ramones,Blitzkrieg Bop,http://www.youtube.com/watch?v=iymtpePP8I8
U2,I Still Haven't Found What I'm Looking For,http://www.youtube.com/watch?v=e3-5YC_oHjE
Little Richard,Good Golly Miss Molly,http://www.youtube.com/watch?v=lQ6akiGRcL8
Carl Perkins,Blue Suede Shoes,http://www.youtube.com/watch?v=DRNyvO4QouY
Jerry Lee Lewis,Great Balls Of Fire,http://www.youtube.com/watch?v=ZD8YPY8RBQc
Chuck Berry,Roll Over Beethoven,http://www.youtube.com/watch?v=WXQLyzeysGU
Al Green,Love And Happiness,http://www.youtube.com/watch?v=rqqAnjY2Rmo
Creedence Clearwater Revival,Fortunate Son,http://www.youtube.com/watch?v=ec0XKhAHR5I
The Rolling Stones,You Can't Always Get What You Want,http://www.youtube.com/watch?v=j7leQB_Oe_k
Jimi Hendrix,Voodoo Child (Slight Return),http://www.youtube.com/watch?v=IZBlqcbpmxY
Gene Vincent,Be-Bop-A-Lula,http://www.youtube.com/watch?v=vDU9FP5_B2M
Donna Summer,Hot Stuff,http://www.youtube.com/watch?v=1IdEhvuNxV8
Stevie Wonder,Living For The City,http://www.youtube.com/watch?v=rc0XEw4m-3w
Simon And Garfunkel,The Boxer,http://www.youtube.com/watch?v=l3LFML_pxlY
Bob Dylan,Mr. Tambourine Man,http://www.youtube.com/watch?v=PYF8Y47qZQY
The Crickets,Not Fade Away,http://www.youtube.com/watch?v=m7iPbqNla6Q
Prince,Little Red Corvette,http://www.youtube.com/watch?v=5JBz1ELxy6o
Van Morrison,Brown Eyed Girl,http://www.youtube.com/watch?v=kqXSBe-qMGo
Otis Redding,I've Been Loving You Too Long,http://www.youtube.com/watch?v=qZ6OrrkeVFo
Hank Williams,I'm So Lonesome I Could Cry,http://www.youtube.com/watch?v=4WXYjm74WFI
Elvis Presley,That's All Right,http://www.youtube.com/watch?v=wf_TRHww9vc
The Drifters,Up On The Roof,http://www.youtube.com/watch?v=puM1k-S86nE
The Crystals,Da Doo Ron Ron,http://www.youtube.com/watch?v=v-qqi7-Q19k
Sam Cooke,You Send Me,http://www.youtube.com/watch?v=mrwfB4aAZZc
The Rolling Stones,Honky Tonk Women,http://www.youtube.com/watch?v=A6M77oHD110
Al Green,Take Me To The River,http://www.youtube.com/watch?v=vGD8aQ2GKr0
The Isley Brothers,Shout,http://www.youtube.com/watch?v=qFCePEPdaU4
Fleetwood Mac,Go Your Own Way,http://www.youtube.com/watch?v=6ul-cZyuYq4
The Jackson 5,I Want You Back,http://www.youtube.com/watch?v=s3Q80mk7bxE
Ben E. King,Stand By Me,http://www.youtube.com/watch?v=hwZNL7QVJjE
